Kategorie;articleordernumber;Bild;Artikelname;EAN;Größe;Purchaseprice;UVP;VE;Menge;Gesamt;manufacturer
SEAWEED;PF0115SL01LAV;nan;Liquid Soap Marseille 1L SEAWEED;3551780007392;1000ml;18,00 €;36,00 €;6;nan; 	-     ;La compagnie de provence
SEAWEED;PF0115SL03LAV;nan;Liquid Soap Marseille 3L Refill SEAWEED(Wird erst auf Anfrage bestellt);3551780009716;3 L;42,50 €;85,00 €;3;nan; 	-     ;La compagnie de provence
E X T R A  P U R;PF0101SL500EX;nan;Liquid Soap Marseille 495ml;3551780004483;495 ml;15,50 €;31,00 €;6;3.0;46,50 €;La compagnie de provence
E X T R A  P U R;PF0101SL300EX;nan;Liquid Soap Marseille 300ml PET;3551780005367;300 ml;12,00 €;24,00 €;6;3.0;nan;La compagnie de provence
E X T R A  P U R;PF0101SL03LEX;nan;Exfoliating Liquid Soap Marseille 3L Refill(Wird erst auf Anfrage bestellt);3551780009709;3 L;45,00 €;90,00 €;3;nan; 	-     ;La compagnie de provence
FLÜSSIGSEIFE;PF0101SL300RV;nan;Liquid Soap Marseille 300ml REVITALIZING ROSEMARY;3551780007729;300ml;9,00 €;18,00 €;6;3.0;27,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0101SL300ME;nan;Liquid Soap Marseille 300ml MEDITERRANEAN SEA;3551780000263;300ml;9,00 €;18,00 €;6;3.0;27,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0101SL300LA;nan;Liquid Soap Marseille 300ml AROMATIC LAVENDER;3551780000256;300ml;9,00 €;18,00 €;6;3.0;27,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0101SL300FI;nan;Liquid Soap Marseille 300ml FIG OF PROVENCE;3551780000232;300ml;9,00 €;18,00 €;6;3.0;27,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0101SL300RO;nan;Liquid Soap Marseille 300ml WILD ROSE;3551780000294;300ml;9,00 €;18,00 €;6;3.0;27,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0101SL300VE;nan;Liquid Soap Marseille 300ml FRESH VERBENA;3551780000300;300ml;9,00 €;18,00 €;6;3.0;27,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0101SL300PA;nan;Liquid Soap Marseille 300ml PINK GRAPEFRUIT;3551780000287;300ml;9,00 €;18,00 €;6;3.0;27,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0101SL300CO;nan;Liquid Soap Marseille 300ml COTTON FLOWER;3551780000225;300ml;9,00 €;18,00 €;6;3.0;27,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0101SL300BO;nan;Liquid Soap Marseille 300ml OLIVE WOOD;3551780000218;300ml;9,00 €;18,00 €;6;3.0;27,00 €;La compagnie de provence
500 ml Flüssigseife;PF0101SL500RV;nan;Liquid Soap Marseille 495ml REVITALIZING ROSEMARY;3551780007712;495ml;12,50 €;25,00 €;6;3.0;37,50 €;La compagnie de provence
500 ml Flüssigseife;PF0101SL500ME;nan;Liquid Soap Marseille 495ml MEDITERRANEAN SEA;3551780000164;495ml;12,50 €;25,00 €;6;3.0;37,50 €;La compagnie de provence
500 ml Flüssigseife;PF0101SL500LA;nan;Liquid Soap Marseille 495ml AROMATIC LAVENDER;3551780000157;495ml;12,50 €;25,00 €;6;3.0;37,50 €;La compagnie de provence
500 ml Flüssigseife;PF0101SL500FI;nan;Liquid Soap Marseille 495ml FIG OF PROVENCE;3551780000133;495ml;12,50 €;25,00 €;6;3.0;37,50 €;La compagnie de provence
500 ml Flüssigseife;PF0101SL500RO;nan;Liquid Soap Marseille 495ml WILD ROSE;3551780000195;495ml;12,50 €;25,00 €;6;3.0;37,50 €;La compagnie de provence
500 ml Flüssigseife;PF0101SL500VE;nan;Liquid Soap Marseille 495ml FRESH VERBENA;3551780000201;495ml;12,50 €;25,00 €;6;3.0;37,50 €;La compagnie de provence
500 ml Flüssigseife;PF0101SL500PA;nan;Liquid Soap Marseille 495ml PINK GRAPEFRUIT;3551780000188;495ml;12,50 €;25,00 €;6;3.0;37,50 €;La compagnie de provence
500 ml Flüssigseife;PF0101SL500CO;nan;Liquid Soap Marseille 495ml COTTON FLOWER;3551780000126;495ml;12,50 €;25,00 €;6;3.0;37,50 €;La compagnie de provence
500 ml Flüssigseife;PF0101SL500BO;nan;Liquid Soap Marseille 495ml OLIVE WOOD;3551780000119;495ml;12,50 €;25,00 €;6;3.0;37,50 €;La compagnie de provence
1000 ml Flüssigseife-Refill;PF0101SL01LRV;nan;Liquid Soap Marseille 1L Refill REVITALIZING ROSEMARY;3551780007705;1000ml;17,00 €;34,00 €;6;nan; 	-     ;La compagnie de provence
1000 ml Flüssigseife-Refill;PF0101SL01LME;nan;Liquid Soap Marseille 1L Refill MEDITERRANEAN SEA;3551780000065;1000 ml;17,00 €;34,00 €;6;nan; 	-     ;La compagnie de provence
1000 ml Flüssigseife-Refill;PF0101SL01LLA;nan;Liquid Soap Marseille 1L Refill AROMATIC LAVENDER;3551780000058;1000 ml;17,00 €;34,00 €;6;nan; 	-     ;La compagnie de provence
1000 ml Flüssigseife-Refill;PF0101SL01LFI;nan;Liquid Soap Marseille 1L Refill FIG OF PROVENCE;3551780000034;1000 ml;17,00 €;34,00 €;6;nan; 	-     ;La compagnie de provence
1000 ml Flüssigseife-Refill;PF0101SL01LRO;nan;Liquid Soap Marseille 1L Refill WILD ROSE;3551780000096;1000 ml;17,00 €;34,00 €;6;nan; 	-     ;La compagnie de provence
